feature,pearson_r
V14,-0.16083877954083012
V12,-0.14050427494216097
V4,0.11895389266655404
V17,-0.10458410970789292
V26,0.008655310972617732
V1,0.006154930725579501
V21,-0.0057229507515173614
V7,-0.005361456408642689
V10,-0.005150945163234109
V28,0.004025175283464899
V3,0.003969246114451105
V25,-0.003578477534047811
V2,0.003371129346924421
V16,0.0032928968853429747
V11,-0.0032036638534463494
V8,-0.0031657343783509707
V18,-0.0030959621767705104
V20,-0.0027728711400296577
V13,-0.0021429326261870867
V22,0.0018143138758540806
V15,-0.0016395909879657932
V19,0.0015201082639676308
V27,0.0013554256655591563
V5,-0.0011099940724081836
V6,-0.0008604079871421544
V9,-0.00048622603548412267
V23,0.00035968606579485346
V24,-0.0003461181039125477
